[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.006701s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006788s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000396s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000401s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000274s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000453s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001698s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.003824s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.003904s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000269s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000426s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000238s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000292s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000193s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000254s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.004183s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004249s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000278s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000243s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000190s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000328s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001164s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001566s ]
[ 2013-01-05T20:18:17+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001638s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000206s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000315s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000123s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000163s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000188s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000245s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.003827s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003885s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000181s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000249s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000121s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000314s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000970s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002581s ]
[ 2013-01-05T20:26:30+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002633s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000145s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000228s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000149s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000193s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000107s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000161s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.003614s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003664s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000158s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000224s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000138s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000315s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000948s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001500s ]
[ 2013-01-05T20:26:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001548s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000332s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000456s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000531s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000609s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000216s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000299s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.006045s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006137s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000396s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000433s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000255s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000565s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001853s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002270s ]
[ 2013-01-05T20:26:33+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002380s ]
[ 2013-01-05T20:26:36+08:00 ] /Admin/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T20:26:36+08:00 ] /Admin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000161s ]
[ 2013-01-05T20:26:36+08:00 ] /Admin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000245s ]
[ 2013-01-05T20:26:36+08:00 ] /Admin/ | NOTIC: [8] Undefined index:  _ACCESS_LIST RBAC.class.php 第 184 行.
[ 2013-01-05T20:26:36+08:00 ] /Admin/ | NOTIC: [8] Undefined index:  authId CommonAction.class.php 第 11 行.
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000201s ]
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000306s ]
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000228s ]
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000323s ]
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000174s ]
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000255s ]
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.005046s ]
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005124s ]
[ 2013-01-05T20:26:43+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
